               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  49,            0.024788,           0.0063582,                   0,             0.95516,             0.91289,             0.95992,             0.66914,            0.020684,           0.0043293,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.025464,           0.0062294,                   0,             0.96007,             0.91812,             0.95697,             0.65803,            0.021502,           0.0043391,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.024151,           0.0063242,                   0,             0.95226,             0.91115,             0.95689,             0.67635,            0.020064,            0.004292,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.024704,           0.0064399,                   0,             0.93988,             0.92334,              0.9595,             0.66462,            0.020461,           0.0042947,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.025185,           0.0062647,                   0,             0.95479,             0.91985,             0.96446,             0.66681,            0.021027,           0.0042765,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.024174,           0.0063961,                   0,             0.95744,             0.92683,             0.96512,             0.66825,            0.020935,           0.0042929,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.024568,           0.0060017,                   0,             0.95827,             0.92009,             0.96137,             0.67098,            0.019677,           0.0042885,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.024876,           0.0064825,                   0,             0.95569,             0.92334,             0.96066,             0.65917,            0.021468,           0.0042857,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.022849,           0.0058591,                   0,             0.95331,             0.92488,             0.96397,             0.68034,            0.019268,           0.0041866,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.022803,           0.0058877,                   0,             0.95524,             0.92951,             0.96939,             0.69747,            0.018652,           0.0041251,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.021823,           0.0057215,                   0,             0.95229,             0.93031,             0.96913,             0.70901,            0.018021,           0.0040335,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.023168,            0.005836,                   0,             0.96077,             0.93879,             0.97221,             0.68853,            0.018703,           0.0041206,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.022676,           0.0055694,                   0,             0.95891,             0.93902,             0.97242,             0.70175,            0.018737,           0.0040862,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.022775,           0.0056606,                   0,             0.96063,             0.93516,             0.97485,             0.70112,            0.019406,           0.0040907,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.022008,           0.0059252,                   0,             0.95263,             0.94602,             0.97383,             0.71733,            0.018385,           0.0039698,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.020663,           0.0054566,                   0,             0.94797,             0.95296,             0.97269,             0.71711,            0.018053,           0.0039363,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.021574,           0.0055975,                   0,             0.94922,             0.94948,               0.972,             0.71839,            0.018176,           0.0039332,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.020977,           0.0055481,                   0,             0.96633,             0.94988,             0.97682,             0.71563,            0.018694,           0.0039199,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.020818,           0.0054533,                   0,             0.96422,             0.94077,             0.97098,             0.71846,            0.017461,           0.0038886,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.021077,           0.0055053,                   0,             0.96985,             0.93728,             0.97626,             0.73087,            0.016954,           0.0038326,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.019974,           0.0054207,                   0,             0.96534,             0.94774,             0.97622,             0.72627,            0.017311,           0.0038002,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.020086,           0.0058739,                   0,             0.96242,             0.94599,             0.97227,             0.72519,            0.017619,           0.0038067,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.021392,           0.0058349,                   0,             0.96016,             0.95122,             0.97412,             0.72865,            0.016543,           0.0037938,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.019994,           0.0053548,                   0,             0.95799,             0.95341,              0.9764,             0.73389,            0.016657,           0.0037908,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.020159,           0.0052671,                   0,              0.9611,             0.95296,             0.97914,             0.73777,            0.016118,           0.0037512,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.019832,           0.0055438,                   0,             0.95464,             0.95993,             0.97722,             0.74063,            0.015919,           0.0037497,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.018727,           0.0056814,                   0,             0.95667,             0.96167,             0.97863,             0.73327,            0.016042,           0.0037043,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.019529,           0.0051461,                   0,              0.9715,              0.9503,             0.97858,             0.73939,            0.015708,           0.0036886,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.018347,           0.0052426,                   0,             0.97091,             0.95296,             0.97833,              0.7414,             0.01591,           0.0036202,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.018694,           0.0055739,                   0,             0.97063,             0.94948,             0.97858,             0.74733,            0.015546,           0.0036053,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.018693,           0.0055157,                   0,             0.96315,             0.95613,             0.97807,             0.75496,            0.015014,           0.0035769,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.018134,           0.0051194,                   0,             0.96826,             0.95653,             0.97754,             0.75989,            0.014902,           0.0035749,                   0,            0.002179,            0.002179,            0.002179
